IVId,ReadingId,Voltage,CurrentAmp
1,1,0.0,8.5
2,1,0.5,6.93
3,1,1.0,8.56
4,1,1.5,7.29
5,1,2.0,7.97
6,1,2.5,7.07
7,1,3.0,7.54
8,1,3.5,6.66
9,1,4.0,7.37
10,1,4.5,7.56
11,2,0.0,8.33
12,2,0.5,8.2
13,2,1.0,7.08
14,2,1.5,7.29
15,2,2.0,7.5
16,2,2.5,8.4
17,2,3.0,8.07
18,2,3.5,8.1
19,2,4.0,7.89
20,2,4.5,7.81
21,3,0.0,8.84
22,3,0.5,7.14
23,3,1.0,7.87
24,3,1.5,8.61
25,3,2.0,6.92
26,3,2.5,7.6
27,3,3.0,7.54
28,3,3.5,7.97
29,3,4.0,7.04
30,3,4.5,6.49
31,4,0.0,8.97
32,4,0.5,8.16
33,4,1.0,7.86
34,4,1.5,7.07
35,4,2.0,7.51
36,4,2.5,6.67
37,4,3.0,6.67
38,4,3.5,7.26
39,4,4.0,6.57
40,4,4.5,6.28
41,5,0.0,8.53
42,5,0.5,7.42
43,5,1.0,7.01
44,5,1.5,7.86
45,5,2.0,8.04
46,5,2.5,8.21
47,5,3.0,6.85
48,5,3.5,7.45
49,5,4.0,7.15
50,5,4.5,6.56
51,6,0.0,8.83
52,6,0.5,8.66
53,6,1.0,8.07
54,6,1.5,7.27
55,6,2.0,7.3
56,6,2.5,8.2
57,6,3.0,7.36
58,6,3.5,8.08
59,6,4.0,7.05
60,6,4.5,6.8
61,7,0.0,7.09
62,7,0.5,7.34
63,7,1.0,8.45
64,7,1.5,8.01
65,7,2.0,7.29
66,7,2.5,8.39
67,7,3.0,7.79
68,7,3.5,7.97
69,7,4.0,8.14
70,7,4.5,7.54
71,8,0.0,8.69
72,8,0.5,6.95
73,8,1.0,7.81
74,8,1.5,8.51
75,8,2.0,7.47
76,8,2.5,6.77
77,8,3.0,6.68
78,8,3.5,8.01
79,8,4.0,7.1
80,8,4.5,7.83
81,9,0.0,8.48
82,9,0.5,7.78
83,9,1.0,8.25
84,9,1.5,6.98
85,9,2.0,8.55
86,9,2.5,7.57
87,9,3.0,6.79
88,9,3.5,6.37
89,9,4.0,7.32
90,9,4.5,6.7
91,10,0.0,8.12
92,10,0.5,7.78
93,10,1.0,7.9
94,10,1.5,7.76
95,10,2.0,7.88
96,10,2.5,6.93
97,10,3.0,6.52
98,10,3.5,6.38
99,10,4.0,7.8
100,10,4.5,6.69
101,11,0.0,8.45
102,11,0.5,8.49
103,11,1.0,8.16
104,11,1.5,7.61
105,11,2.0,7.97
106,11,2.5,8.39
107,11,3.0,7.92
108,11,3.5,6.75
109,11,4.0,7.56
110,11,4.5,6.33
111,12,0.0,7.8
112,12,0.5,8.1
113,12,1.0,8.76
114,12,1.5,8.22
115,12,2.0,6.85
116,12,2.5,8.4
117,12,3.0,6.88
118,12,3.5,8.08
119,12,4.0,6.69
120,12,4.5,7.5
121,13,0.0,8.67
122,13,0.5,8.75
123,13,1.0,7.83
124,13,1.5,8.16
125,13,2.0,8.39
126,13,2.5,7.86
127,13,3.0,7.71
128,13,3.5,7.82
129,13,4.0,6.95
130,13,4.5,6.12
131,14,0.0,8.28
132,14,0.5,8.83
133,14,1.0,8.35
134,14,1.5,6.8
135,14,2.0,7.89
136,14,2.5,7.69
137,14,3.0,7.65
138,14,3.5,7.94
139,14,4.0,8.1
140,14,4.5,8.07
141,15,0.0,8.51
