ReadingId,SubId,Timestamp,ReadTime,Wattage,Plant,ToolName,ToolLine,PassFail,CreatedAt
1,FS-2026-0001,2026-08-23 20:47:00,1.42,304.91,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
2,FS-2026-0002,2026-08-13 03:17:00,2.11,236.16,Toledo,Flasher,A,1,2026-09-11 18:08:51
3,FS-2026-0003,2026-08-02 19:42:00,1.51,252.64,Toledo,Boiler,A,1,2026-09-11 18:08:51
4,FS-2026-0004,2026-08-18 04:23:00,1.78,272.64,Perrysburg,Flasher,B,1,2026-09-11 18:08:51
5,FS-2026-0005,2026-08-01 08:44:00,2.81,331.75,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
6,FS-2026-0006,2026-08-12 18:08:00,1.01,230.82,Toledo,Flasher,B,0,2026-09-11 18:08:51
7,FS-2026-0007,2026-08-14 17:11:00,0.63,282.28,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
8,FS-2026-0008,2026-08-16 12:18:00,1.0,202.0,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
9,FS-2026-0009,2026-08-17 21:15:00,1.14,378.02,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
10,FS-2026-0010,2026-08-09 01:38:00,2.42,225.46,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
11,FS-2026-0011,2026-08-21 14:33:00,2.42,333.98,Toledo,Boiler,B,1,2026-09-11 18:08:51
12,FS-2026-0012,2026-08-30 08:32:00,0.84,250.11,Toledo,Flasher,A,1,2026-09-11 18:08:51
13,FS-2026-0013,2026-08-14 08:06:00,1.28,224.81,Toledo,Boiler,A,0,2026-09-11 18:08:51
14,FS-2026-0014,2026-08-13 11:02:00,1.65,246.02,Toledo,Boiler,A,0,2026-09-11 18:08:51
15,FS-2026-0015,2026-08-12 21:46:00,0.86,316.89,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
16,FS-2026-0016,2026-08-10 01:37:00,1.36,326.87,Toledo,Flasher,A,1,2026-09-11 18:08:51
17,FS-2026-0017,2026-08-30 11:49:00,0.74,224.98,Toledo,Boiler,B,0,2026-09-11 18:08:51
18,FS-2026-0018,2026-08-25 07:09:00,2.24,382.36,Toledo,Boiler,A,0,2026-09-11 18:08:51
19,FS-2026-0019,2026-08-17 08:04:00,2.79,376.5,Toledo,Flasher,B,0,2026-09-11 18:08:51
20,FS-2026-0020,2026-08-04 04:36:00,0.57,346.45,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
21,FS-2026-0021,2026-08-22 15:54:00,2.93,354.4,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
22,FS-2026-0022,2026-08-20 01:58:00,1.13,271.51,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
23,FS-2026-0023,2026-08-03 12:32:00,2.41,219.71,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
24,FS-2026-0024,2026-08-19 17:44:00,2.66,367.68,Toledo,Boiler,A,1,2026-09-11 18:08:51
25,FS-2026-0025,2026-08-08 07:36:00,1.75,333.3,Toledo,Flasher,A,0,2026-09-11 18:08:51
26,FS-2026-0026,2026-08-02 09:15:00,1.51,243.75,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
27,FS-2026-0027,2026-08-14 23:00:00,1.25,367.29,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
28,FS-2026-0028,2026-08-27 06:17:00,1.29,206.54,Toledo,Flasher,B,1,2026-09-11 18:08:51
29,FS-2026-0029,2026-08-13 15:21:00,1.67,200.16,Toledo,Boiler,B,0,2026-09-11 18:08:51
30,FS-2026-0030,2026-08-23 09:27:00,0.74,254.83,Toledo,Boiler,A,0,2026-09-11 18:08:51
31,FS-2026-0031,2026-08-03 02:32:00,1.49,350.51,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
32,FS-2026-0032,2026-08-23 20:41:00,2.61,278.32,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
33,FS-2026-0033,2026-08-10 07:40:00,2.28,302.14,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
34,FS-2026-0034,2026-08-22 05:39:00,1.54,294.55,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
35,FS-2026-0035,2026-08-13 10:13:00,2.8,224.31,Toledo,Flasher,B,1,2026-09-11 18:08:51
36,FS-2026-0036,2026-08-16 12:48:00,2.42,279.8,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
37,FS-2026-0037,2026-08-03 20:55:00,2.87,224.91,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
38,FS-2026-0038,2026-08-27 02:47:00,2.63,284.97,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
39,FS-2026-0039,2026-08-10 01:28:00,0.78,212.12,Toledo,Boiler,B,0,2026-09-11 18:08:51
40,FS-2026-0040,2026-08-09 03:41:00,2.02,303.32,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
41,FS-2026-0041,2026-08-07 04:55:00,1.42,221.45,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
42,FS-2026-0042,2026-08-23 09:05:00,0.57,283.45,Toledo,Flasher,B,1,2026-09-11 18:08:51
43,FS-2026-0043,2026-08-25 04:47:00,0.74,377.03,Toledo,Flasher,B,0,2026-09-11 18:08:51
44,FS-2026-0044,2026-08-09 19:27:00,1.75,280.26,Toledo,Boiler,A,0,2026-09-11 18:08:51
45,FS-2026-0045,2026-08-01 08:20:00,1.81,264.57,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
46,FS-2026-0046,2026-08-19 03:34:00,1.27,303.45,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
47,FS-2026-0047,2026-08-29 04:40:00,1.93,300.5,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
48,FS-2026-0048,2026-08-27 21:03:00,1.01,341.68,Toledo,Flasher,A,1,2026-09-11 18:08:51
49,FS-2026-0049,2026-08-23 14:34:00,0.82,219.23,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
50,FS-2026-0050,2026-08-19 02:43:00,2.61,230.71,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
51,FS-2026-0051,2026-08-19 08:42:00,2.02,337.19,Toledo,Flasher,B,0,2026-09-11 18:08:51
52,FS-2026-0052,2026-08-20 04:52:00,1.76,331.06,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
53,FS-2026-0053,2026-08-20 02:32:00,1.29,286.35,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
54,FS-2026-0054,2026-08-06 13:30:00,0.51,240.92,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
55,FS-2026-0055,2026-08-10 00:56:00,1.17,369.01,Toledo,Boiler,B,0,2026-09-11 18:08:51
56,FS-2026-0056,2026-08-29 02:27:00,0.65,363.57,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
57,FS-2026-0057,2026-08-05 14:02:00,1.67,312.22,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
58,FS-2026-0058,2026-08-19 16:40:00,1.19,217.08,Toledo,Flasher,B,1,2026-09-11 18:08:51
59,FS-2026-0059,2026-08-28 09:21:00,2.41,247.2,Toledo,Flasher,A,0,2026-09-11 18:08:51
60,FS-2026-0060,2026-08-25 01:51:00,2.04,309.91,Toledo,Boiler,A,0,2026-09-11 18:08:51
61,FS-2026-0061,2026-08-07 01:58:00,1.95,392.85,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
62,FS-2026-0062,2026-08-15 23:28:00,2.62,226.9,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
63,FS-2026-0063,2026-08-15 19:44:00,0.97,312.9,Toledo,Boiler,B,1,2026-09-11 18:08:51
64,FS-2026-0064,2026-08-30 07:07:00,0.96,270.99,Perrysburg,Flasher,B,1,2026-09-11 18:08:51
65,FS-2026-0065,2026-08-11 22:00:00,0.99,274.82,Perrysburg,Boiler,B,1,2026-09-11 18:08:51
66,FS-2026-0066,2026-08-21 04:38:00,0.91,350.35,Toledo,Boiler,A,1,2026-09-11 18:08:51
67,FS-2026-0067,2026-08-09 04:16:00,2.15,233.14,Toledo,Flasher,B,0,2026-09-11 18:08:51
68,FS-2026-0068,2026-08-14 11:59:00,2.97,387.56,Toledo,Boiler,A,0,2026-09-11 18:08:51
69,FS-2026-0069,2026-08-26 13:54:00,1.06,200.97,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
70,FS-2026-0070,2026-08-14 13:39:00,1.52,230.25,Toledo,Boiler,B,1,2026-09-11 18:08:51
71,FS-2026-0071,2026-08-08 20:02:00,2.99,207.43,Toledo,Flasher,A,1,2026-09-11 18:08:51
72,FS-2026-0072,2026-08-15 16:48:00,1.68,337.03,Toledo,Flasher,A,1,2026-09-11 18:08:51
73,FS-2026-0073,2026-08-01 16:11:00,1.41,368.95,Toledo,Boiler,A,1,2026-09-11 18:08:51
74,FS-2026-0074,2026-08-22 06:32:00,2.33,319.4,Perrysburg,Boiler,B,0,2026-09-11 18:08:51
75,FS-2026-0075,2026-08-05 20:28:00,1.4,220.85,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
76,FS-2026-0076,2026-08-09 21:31:00,0.53,257.55,Toledo,Boiler,A,0,2026-09-11 18:08:51
77,FS-2026-0077,2026-08-20 07:50:00,0.99,326.28,Toledo,Boiler,B,1,2026-09-11 18:08:51
78,FS-2026-0078,2026-08-11 04:25:00,2.48,328.82,Toledo,Boiler,A,1,2026-09-11 18:08:51
79,FS-2026-0079,2026-08-01 20:27:00,2.83,374.69,Toledo,Boiler,A,1,2026-09-11 18:08:51
80,FS-2026-0080,2026-08-26 19:54:00,1.68,362.93,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
81,FS-2026-0081,2026-08-04 11:41:00,2.76,319.48,Toledo,Boiler,A,0,2026-09-11 18:08:51
82,FS-2026-0082,2026-08-08 02:55:00,0.96,372.71,Perrysburg,Flasher,B,1,2026-09-11 18:08:51
83,FS-2026-0083,2026-08-28 15:05:00,1.2,327.12,Toledo,Flasher,A,0,2026-09-11 18:08:51
84,FS-2026-0084,2026-08-11 01:56:00,2.06,210.07,Perrysburg,Flasher,A,0,2026-09-11 18:08:51
85,FS-2026-0085,2026-08-22 21:07:00,2.49,342.34,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
86,FS-2026-0086,2026-08-08 17:55:00,1.58,294.7,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
87,FS-2026-0087,2026-08-09 02:34:00,2.3,389.47,Toledo,Boiler,A,1,2026-09-11 18:08:51
88,FS-2026-0088,2026-08-03 04:38:00,1.07,399.63,Toledo,Flasher,B,0,2026-09-11 18:08:51
89,FS-2026-0089,2026-08-20 19:51:00,2.19,362.19,Perrysburg,Boiler,A,0,2026-09-11 18:08:51
90,FS-2026-0090,2026-08-09 10:45:00,2.82,314.86,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
91,FS-2026-0091,2026-08-16 03:50:00,0.97,253.98,Toledo,Flasher,B,1,2026-09-11 18:08:51
92,FS-2026-0092,2026-08-19 10:36:00,2.09,315.13,Perrysburg,Boiler,A,1,2026-09-11 18:08:51
93,FS-2026-0093,2026-08-06 03:14:00,0.62,374.0,Perrysburg,Flasher,B,0,2026-09-11 18:08:51
94,FS-2026-0094,2026-08-23 11:32:00,2.7,350.89,Toledo,Flasher,A,0,2026-09-11 18:08:51
95,FS-2026-0095,2026-08-10 00:01:00,1.45,310.06,Toledo,Boiler,B,0,2026-09-11 18:08:51
96,FS-2026-0096,2026-08-22 17:51:00,0.98,370.37,Perrysburg,Flasher,A,1,2026-09-11 18:08:51
